"mixture_name","mix_name","mean_weight_pos","mean_weight_neg"
"Metals","arsenic.t1.res",0.0171644796776838,0.363188120433036
"Metals","cadmium.t1.res",0.720766648362448,0.0545906915811308
"Metals","lead.t1.res",0.25149658240677,0.108472164224197
"Metals","mercury.t1.res",0.0105722895530982,0.473749023761637
"OC Pesticides","bbhc.t1.res",0.140931573453694,0.421339385798979
"OC Pesticides","dde.t1.res",0.25127144573681,0.162418303263271
"OC Pesticides","oxychlor.t1.res",0.0593690937161101,0.379860481566549
"OC Pesticides","transnona.t1.res",0.548427887093386,0.0363818293712008
"PFAS","pfhxs.t1.res",0.958126557119569,0.00130872522355265
"PFAS","pfos.t1.res",0.00605624061793795,0.60182674094263
"PFAS","pfoa.t1.res",0.0358172022624928,0.396864533833817
"PCBs","pcb118.t1.res",0.24050123463891,0.411249433268588
"PCBs","pcb138.t1.res",0.0298898467552969,0.339530873512035
"PCBs","pcb153.t1.res",0.48431269440772,0.0239848844942848
"PCBs","pcb180.t1.res",0.245296224198074,0.225234808725092
"All POPs","bbhc.t1.res",0.00911576242756132,0.250976402596147
"All POPs","dde.t1.res",0.0120000833488207,0.070227120310537
"All POPs","oxychlor.t1.res",0.00395604317489103,0.158499525973579
"All POPs","transnona.t1.res",0.0252643190007688,0.0117684162967236
"All POPs","pfhxs.t1.res",0.440565136945533,0.000317644030083618
"All POPs","pfos.t1.res",0.00274689001142403,0.133437794188939
"All POPs","pfoa.t1.res",0.0140562667531303,0.10927752261196
"All POPs","pcb118.t1.res",0.0136855913256761,0.101531323485928
"All POPs","pcb138.t1.res",0.0013330705691529,0.0576924481597852
"All POPs","pcb153.t1.res",0.0392779525830197,0.00342208918736607
"All POPs","pcb180.t1.res",0.0493944888602611,0.100530625329239
"All POPs","bde47.t1.res",0.388604394999761,0.00231908782971248
